id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
685402952075628858,"Adorable Room in SF,  near Daly City BART",470970712,Adrien,,Ocean View,37.70912040188851,-122.46276200011614,Entire home/apt,102,4,1,2022-08-22,1,1,354,1,2022-006583STR
637051829678544604,Lovely Large 1 Bedroom Steps Away From Ocean.,17044234,Jacqueline,,Russian Hill,37.80343,-122.42494,Entire home/apt,286,30,0,,,1,126,0,
637577787729829412,"Chic, Comfortable, Spacious Studio-Patio & Parking",436205910,Kristin And Kaleen,,Outer Mission,37.71446,-122.44789,Entire home/apt,104,30,0,,,2,233,0,
699874676728842345,Cheerful 2 bed home with hot tub quiet neighbors,463305304,Sean,,Visitacion Valley,37.715815850688855,-122.43144272228862,Private room,73,1,2,2022-09-05,2,3,47,2,2022-008409STR
699874812583449113,"Cheerful 2 bed room with hot tub, quiet neighbors",463305304,Sean,,Excelsior,37.71687679671142,-122.43166685948412,Private room,73,1,0,,,3,39,0,2022-008409str
700244795661404311,"Beautiful apartment, private room in San Francisco",361671311,Jose,,Western Addition,37.782138364457985,-122.43428392453656,Private room,152,3,0,,,1,64,0,2022-202022STR
685509021070560272,(20) A Private Bedroom with Bathroom,473145990,Daniel,,Downtown/Civic Center,37.78660010263378,-122.41560967827981,Private room,92,1,1,2022-09-05,1,8,335,1,1008731
685763165453358932,Modern luxury single-family home near Precita Park,78866423,Michael,,Bernal Heights,37.74647368311309,-122.41022419184446,Entire home/apt,528,2,0,,,1,165,0,2022-004322STR
700262606800867046,$3000 Apartment 1 bedrooms in Pacific Heights,17213536,Kris,,Western Addition,37.77839441758067,-122.43029404831672,Entire home/apt,100,30,0,,,1,365,0,
637597877036974745,Lovely 2 bed 2 bath Hayes Valley condo,6229402,Christian,,Western Addition,37.775333,-122.429604,Entire home/apt,400,7,2,2022-08-27,2,2,301,2,2022-005180STR
708197577414068763,Lavish Lodging in a Laidback City Locale,33856710,Samson,,Outer Mission,37.7316996219482,-122.44807035066897,Entire home/apt,496,3,0,,,3,61,0,2020-012089STR
685806932642961390,"St Francis Wood Guest Suite - Views, Free Parking!",1917940,Anniechen,,West of Twin Peaks,37.73533307909688,-122.46145738440357,Private room,120,1,2,2022-08-17,2,1,68,2,2022-001207STR
708236565294757134,Lovely 3 bedroom 2.5 bath condo with garage,3956811,Kenyon / Irma,,Western Addition,37.781665654479866,-122.42798590516594,Entire home/apt,250,30,0,,,1,365,0,
708431156156100676,Spacious Hayes Valley Apartment.,9632192,Susan,,Western Addition,37.772742169427595,-122.42524670344356,Entire home/apt,110,30,0,,,15,354,0,
700647098001993002,Quiet Garden Apartment,54125330,Aj,,Parkside,37.7421277402681,-122.48464351706696,Entire home/apt,225,2,1,2022-08-28,1,1,149,1,2022-006224STR
700742958319203675,Modern Victorian home in SF,355769939,Onyx Stays,,Haight Ashbury,37.766870899453394,-122.44779006270942,Entire home/apt,450,2,0,,,2,351,0,STR-0006489
700808590903770000,3 blocks from Ocean Beach and Golden Gate Park!,1169998,May May,,Outer Sunset,37.760570991710814,-122.50690003913364,Entire home/apt,265,1,4,2022-09-06,4,1,43,4,2022-008293STR
685853434914922167,2/2 Luxury High Rise near Chase Center Oracle Park,98090855,Trevor,,South of Market,37.77210128940276,-122.38927400944449,Entire home/apt,250,30,0,,,2,337,0,
685995260477961169,Residential Standard Queen Bedroom,310731324,Hotel Des Arts,,Chinatown,37.790907161248846,-122.40572083975482,Private room,133,1,0,,,7,357,0,Exempt
686483552128937468,"Spacious 3-bed, 3-bath in heart of the Excelsior",141228523,Candy,,Excelsior,37.72347107665566,-122.42802013359056,Entire home/apt,297,1,4,2022-09-05,4,2,73,4,2022-005048STR
686918026813117217,Spacious 2-bed apt near SFO & BART-free parking,121668873,Alex,,Outer Mission,37.72088721453474,-122.44384216743798,Entire home/apt,240,3,1,2022-08-29,1,2,50,1,2022-005644STR
700810828055033760,Spacious 1-Bedroom Apartment Near Polk St,39426712,Erika,,Nob Hill,37.789671545377225,-122.42011869862135,Entire home/apt,132,30,0,,,1,158,0,
40710905,PANORAMIC VIEWS OF SF | PARKING GARAGE | SPACIOUS,316008712,Pri,,Crocker Amazon,37.70541,-122.44919,Entire home/apt,413,2,127,2022-08-30,3.92,1,0,28,
687108183726224534,(19) Modern Room with Half Bath,473145990,Daniel,,Downtown/Civic Center,37.78505756199212,-122.41397573676517,Private room,92,1,3,2022-08-25,3,8,162,3,1008731
700818191858699891,Large 1 bedroom apartment with free garage parking,11549443,True,,Noe Valley,37.75617921139615,-122.42575122079356,Entire home/apt,140,30,0,,,1,105,0,
700827168135728978,Top Floor Private BR/BA with View of Coit Tower,466577367,David,,North Beach,37.80405205087851,-122.41085900306311,Private room,225,2,0,,,2,339,0,2022-007200STR
701499728274360397,The Addison by Kasa | Standard Queen Studio,88566861,Kasa,,Pacific Heights,37.78951173664243,-122.431256728666,Entire home/apt,257,7,0,,,19,293,0,Exempt
687235423608112095,"Master bedroom, top floor at Candlestick Cove",124266482,Anh,,Bayview,37.71174,-122.39372,Private room,65,30,0,,,2,342,0,
687629887335436843,"2 Bedroom, 1 Bath Corona Heights view Condominium",148427269,Amsi,,Castro/Upper Market,37.76250295238433,-122.44336605115481,Entire home/apt,180,30,0,,,11,37,0,
687836808290227833,"New, Big, & Bright Top Floor in Perfect Location",14862275,Jonathan,,Inner Richmond,37.7801824,-122.4693769,Entire home/apt,477,2,1,2022-08-31,1,1,122,1,2022-007628STR
702094670509311136,Beautiful Victorian house near Baker & China Beach,473999663,Yvonne,,Outer Richmond,37.785615650627584,-122.48218050531055,Entire home/apt,299,1,1,2022-09-05,1,1,343,1,2022-008370STR
702114541330773408,Luxury San Francisco Apartment Hotel Ocean View,474761537,Wenseng,,Financial District,37.79111721622115,-122.39406994683235,Private room,106,30,0,,,3,335,0,
702117822789285155,Fitzgerald Hotel Union SF,66506549,Ryan,,Downtown/Civic Center,37.787002077017895,-122.411811635817,Private room,300,1,0,,,7,362,0,Exempt
702195407907315272,Lovely one-bedroom apartment with patio,454613880,Fengyun,,Outer Sunset,37.75456,-122.50351,Entire home/apt,131,2,1,2022-09-04,1,3,58,1,2022-008296STR
702264505573880843,Cozy private bedroom,454613880,Fengyun,,Outer Sunset,37.75446700396405,-122.50452216019056,Private room,79,2,1,2022-09-01,1,3,65,1,2022-008296STR
702936249491755072,Exceptional upscale entire condo. Great location.,460939654,Sidra,,Haight Ashbury,37.77140578422475,-122.43872974539603,Entire home/apt,295,30,0,,,1,322,0,
702976241714097639,Private Bathroom - Master Suite in SoMa!,403702270,Tu,,South of Market,37.78164510964647,-122.39788383732927,Private room,120,30,0,,,2,103,0,
12543135,Newly Remodeled Luxury Condo with Garage Parking,67965656,Bella,,Visitacion Valley,37.70723,-122.40361,Entire home/apt,195,31,71,2021-11-30,0.93,1,362,1,
687971206963323302,Central Apartment Minutes to Union Square II-I,472578296,Tania,,Downtown/Civic Center,37.78412055213692,-122.41367143470043,Entire home/apt,151,1,1,2022-08-31,1,6,326,1,str-0001234
688052240197072809,"2 bath, 2bds & loft. Walk to Bart, CCSF & State.",4344170,Katherine,,Ocean View,37.7218441308853,-122.45984874665737,Private room,130,2,0,,,2,365,0,2022-008295STR
688328569588645214,Lovely San Francisco Apartment with a city View,17313954,Xu,,Western Addition,37.771304418577785,-122.43519159020015,Entire home/apt,120,30,0,,,1,159,0,
688351383557214909,Relocating? Remodeling? Long Term Stays Only,151399600,Pamela,,Pacific Heights,37.791142271646656,-122.44090860938229,Entire home/apt,300,90,0,,,6,358,0,
688360108868863600,Remodeling? Relocating? Fire? Long Term Stays Only,151399600,Pamela,,Haight Ashbury,37.76094139720047,-122.44916079672507,Entire home/apt,275,30,0,,,6,362,0,
688472036838358445,2621 -entire 3b2b cheerful unit on Clement monthly,462054616,Tina,,Outer Richmond,37.78061209804303,-122.48657080499551,Entire home/apt,200,30,0,,,1,346,0,
